stars,comment,stopwords,punctuation,hastags,numerics,upper,word_count,char_count,avg_word
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
4,rating right nowbut want make one thing clear ordered device sale delhi seller appariothe device genuine authentic one year warrantyone week review phone working expected apple devicesi believe hard usage bought put restrictions update timei saw people writing negative reviews appario felt fear made mistake last year friend ordered xr sale october yearhe said people happy thier product less likely write feedback promised lash fairso writing thisfirst two days reviewbattery life okcamera natural light good artificial good artificial zoom avgface id goodinterface everything hard track everythingrest everything typical appleconphone heavy hahahaill try keep updating,66,27,0,0,2,98,686,6.0
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
3,moved phone samsung transition ios easy however miss lot android features easy include ios reasons implemented battery life great camera good however miss raw support bit bulky screen could better hangs time expected iphone charger slow getting fast charger phone price,36,12,0,0,2,42,270,5.6
4,time new iphone user decades android ownership blackberry oneplus past decade one main reasons buying iphone price came independence day sale weekthis decided new ear piece phone extremely poor even calls camera beyond awful problems could resolved even giving piece oneplus year weird things started happening calls without showing caller youtube plays without volume calls caller id volume among problemsthat said user interface general phone speed good reception decent planning mac decided iphone based reviews decided instead x se primarily regular user active social media dont phone gaming either uses calls basic browsing working home dont even amazon netflix etc see tv based usage heres oneweek reviewfirst apprehensive apple sells phone even bought wireless charger basics ear phone thankfully iphone comes charger earphonesappearance given usage etc dont particularly care looks phone long ergonomically convenient fine phone feels lighter oneplus even samsung sleek looks good however would recommend red colour dont mind black little staid anyway covers phonesuser interface didnt problem oneplus far apple seems fine sufficient speed opening closing apps easy navigate figured toggle screens little tougher android phones guess figure outcamera compared oneplus awesome incredibly sharp night camera awesome got panorama wellspeaker awesome given problem one plus awesomecharger battery stock charger decent take hours charge battery life lasts easily hours usage also minimal right charging days wireless charging raegr arc quite slow oneplus amazing area fast charge missedearphones thankfully iphone uses charger jack earphones stock ear phone decent fits snugly decent wire length audio decent amazon basics one also decentoverall user experiencepros good overall experience barring minor points stated happy iphone installation apps straghtforward decentcall signal quality etc quite good complaintsdont worry face id works well dark well doesnt need passcode isnt bad part quit consistent keyboard experience less similar android nothing different eithercons appears phone numbers cant copypasted internet dial pad screenmirror casting isnt working croma tv easily sometimes easy navigation chrome windows google isnt easy android easily move back forth tabs opened google cant easily hereone point transfer data android iphone hardly problem iphone takes process data gets backed icloud access deal ithope review helps next buyer,237,152,0,11,19,387,2521,5.9
5,opinion dont think much phone attaching nightmode pictures check best best long day battery touch id iphone best nightmode best processors bionic display could oled price doesnt matter retina lcd really slightly bulky weighty r shifting iphone thick bezelsguys samsung well iphone fan price range would suggest order iphone really great dealand r long time iphone user really great yougot guys,40,31,0,1,6,77,414,5.3
4,mom got phone using oneplus years change wanted try ios heavy user pixel peeper also inclines towards fancy colored phonespreviously lava red thought advising go iphone coming phone say iphone really good one fulfilling many duties ill list points regarding phoneprosa great camera realistic colorsnot highly saturatedthe best video recording mobileas feb great excellent battery lifethe software experience great youre apple way things whole experience fluidicthe phone feels expensive gives feelgood factor also build pretty stellar even people commenting sides alluminium steelconsmany buyers even youtubers saying display great wont notice difference day day life dont want sugarcoat things display decent great day day life texting applications general usage phone wont feel difference correct media apps youtube netflix etc notice difference lower resolution theres escaping factyou also notice great difference screenshots containing textthe display opinion would main deal breaker case phone mom shes tech geek shes loving purple color camera phoneand also youre data transferring phone laptopwindows laptop phone frustrate sure suggest rely cloud based services manual cable sync processconclusion personal thoughtsoverall phone great one youre tech geek want latest iphone also great pick want great hardware flagship tech prefer watching media laptop smart tv,158,48,0,1,9,201,1384,6.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
4,rating right nowbut want make one thing clear ordered device sale delhi seller appariothe device genuine authentic one year warrantyone week review phone working expected apple devicesi believe hard usage bought put restrictions update timei saw people writing negative reviews appario felt fear made mistake last year friend ordered xr sale october yearhe said people happy thier product less likely write feedback promised lash fairso writing thisfirst two days reviewbattery life okcamera natural light good artificial good artificial zoom avgface id goodinterface everything hard track everythingrest everything typical appleconphone heavy hahahaill try keep updating,66,27,0,0,2,98,686,6.0
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
3,moved phone samsung transition ios easy however miss lot android features easy include ios reasons implemented battery life great camera good however miss raw support bit bulky screen could better hangs time expected iphone charger slow getting fast charger phone price,36,12,0,0,2,42,270,5.6
4,time new iphone user decades android ownership blackberry oneplus past decade one main reasons buying iphone price came independence day sale weekthis decided new ear piece phone extremely poor even calls camera beyond awful problems could resolved even giving piece oneplus year weird things started happening calls without showing caller youtube plays without volume calls caller id volume among problemsthat said user interface general phone speed good reception decent planning mac decided iphone based reviews decided instead x se primarily regular user active social media dont phone gaming either uses calls basic browsing working home dont even amazon netflix etc see tv based usage heres oneweek reviewfirst apprehensive apple sells phone even bought wireless charger basics ear phone thankfully iphone comes charger earphonesappearance given usage etc dont particularly care looks phone long ergonomically convenient fine phone feels lighter oneplus even samsung sleek looks good however would recommend red colour dont mind black little staid anyway covers phonesuser interface didnt problem oneplus far apple seems fine sufficient speed opening closing apps easy navigate figured toggle screens little tougher android phones guess figure outcamera compared oneplus awesome incredibly sharp night camera awesome got panorama wellspeaker awesome given problem one plus awesomecharger battery stock charger decent take hours charge battery life lasts easily hours usage also minimal right charging days wireless charging raegr arc quite slow oneplus amazing area fast charge missedearphones thankfully iphone uses charger jack earphones stock ear phone decent fits snugly decent wire length audio decent amazon basics one also decentoverall user experiencepros good overall experience barring minor points stated happy iphone installation apps straghtforward decentcall signal quality etc quite good complaintsdont worry face id works well dark well doesnt need passcode isnt bad part quit consistent keyboard experience less similar android nothing different eithercons appears phone numbers cant copypasted internet dial pad screenmirror casting isnt working croma tv easily sometimes easy navigation chrome windows google isnt easy android easily move back forth tabs opened google cant easily hereone point transfer data android iphone hardly problem iphone takes process data gets backed icloud access deal ithope review helps next buyer,237,152,0,11,19,387,2521,5.9
5,opinion dont think much phone attaching nightmode pictures check best best long day battery touch id iphone best nightmode best processors bionic display could oled price doesnt matter retina lcd really slightly bulky weighty r shifting iphone thick bezelsguys samsung well iphone fan price range would suggest order iphone really great dealand r long time iphone user really great yougot guys,40,31,0,1,6,77,414,5.3
4,mom got phone using oneplus years change wanted try ios heavy user pixel peeper also inclines towards fancy colored phonespreviously lava red thought advising go iphone coming phone say iphone really good one fulfilling many duties ill list points regarding phoneprosa great camera realistic colorsnot highly saturatedthe best video recording mobileas feb great excellent battery lifethe software experience great youre apple way things whole experience fluidicthe phone feels expensive gives feelgood factor also build pretty stellar even people commenting sides alluminium steelconsmany buyers even youtubers saying display great wont notice difference day day life dont want sugarcoat things display decent great day day life texting applications general usage phone wont feel difference correct media apps youtube netflix etc notice difference lower resolution theres escaping factyou also notice great difference screenshots containing textthe display opinion would main deal breaker case phone mom shes tech geek shes loving purple color camera phoneand also youre data transferring phone laptopwindows laptop phone frustrate sure suggest rely cloud based services manual cable sync processconclusion personal thoughtsoverall phone great one youre tech geek want latest iphone also great pick want great hardware flagship tech prefer watching media laptop smart tv,158,48,0,1,9,201,1384,6.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
4,rating right nowbut want make one thing clear ordered device sale delhi seller appariothe device genuine authentic one year warrantyone week review phone working expected apple devicesi believe hard usage bought put restrictions update timei saw people writing negative reviews appario felt fear made mistake last year friend ordered xr sale october yearhe said people happy thier product less likely write feedback promised lash fairso writing thisfirst two days reviewbattery life okcamera natural light good artificial good artificial zoom avgface id goodinterface everything hard track everythingrest everything typical appleconphone heavy hahahaill try keep updating,66,27,0,0,2,98,686,6.0
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
3,moved phone samsung transition ios easy however miss lot android features easy include ios reasons implemented battery life great camera good however miss raw support bit bulky screen could better hangs time expected iphone charger slow getting fast charger phone price,36,12,0,0,2,42,270,5.6
4,time new iphone user decades android ownership blackberry oneplus past decade one main reasons buying iphone price came independence day sale weekthis decided new ear piece phone extremely poor even calls camera beyond awful problems could resolved even giving piece oneplus year weird things started happening calls without showing caller youtube plays without volume calls caller id volume among problemsthat said user interface general phone speed good reception decent planning mac decided iphone based reviews decided instead x se primarily regular user active social media dont phone gaming either uses calls basic browsing working home dont even amazon netflix etc see tv based usage heres oneweek reviewfirst apprehensive apple sells phone even bought wireless charger basics ear phone thankfully iphone comes charger earphonesappearance given usage etc dont particularly care looks phone long ergonomically convenient fine phone feels lighter oneplus even samsung sleek looks good however would recommend red colour dont mind black little staid anyway covers phonesuser interface didnt problem oneplus far apple seems fine sufficient speed opening closing apps easy navigate figured toggle screens little tougher android phones guess figure outcamera compared oneplus awesome incredibly sharp night camera awesome got panorama wellspeaker awesome given problem one plus awesomecharger battery stock charger decent take hours charge battery life lasts easily hours usage also minimal right charging days wireless charging raegr arc quite slow oneplus amazing area fast charge missedearphones thankfully iphone uses charger jack earphones stock ear phone decent fits snugly decent wire length audio decent amazon basics one also decentoverall user experiencepros good overall experience barring minor points stated happy iphone installation apps straghtforward decentcall signal quality etc quite good complaintsdont worry face id works well dark well doesnt need passcode isnt bad part quit consistent keyboard experience less similar android nothing different eithercons appears phone numbers cant copypasted internet dial pad screenmirror casting isnt working croma tv easily sometimes easy navigation chrome windows google isnt easy android easily move back forth tabs opened google cant easily hereone point transfer data android iphone hardly problem iphone takes process data gets backed icloud access deal ithope review helps next buyer,237,152,0,11,19,387,2521,5.9
5,opinion dont think much phone attaching nightmode pictures check best best long day battery touch id iphone best nightmode best processors bionic display could oled price doesnt matter retina lcd really slightly bulky weighty r shifting iphone thick bezelsguys samsung well iphone fan price range would suggest order iphone really great dealand r long time iphone user really great yougot guys,40,31,0,1,6,77,414,5.3
4,mom got phone using oneplus years change wanted try ios heavy user pixel peeper also inclines towards fancy colored phonespreviously lava red thought advising go iphone coming phone say iphone really good one fulfilling many duties ill list points regarding phoneprosa great camera realistic colorsnot highly saturatedthe best video recording mobileas feb great excellent battery lifethe software experience great youre apple way things whole experience fluidicthe phone feels expensive gives feelgood factor also build pretty stellar even people commenting sides alluminium steelconsmany buyers even youtubers saying display great wont notice difference day day life dont want sugarcoat things display decent great day day life texting applications general usage phone wont feel difference correct media apps youtube netflix etc notice difference lower resolution theres escaping factyou also notice great difference screenshots containing textthe display opinion would main deal breaker case phone mom shes tech geek shes loving purple color camera phoneand also youre data transferring phone laptopwindows laptop phone frustrate sure suggest rely cloud based services manual cable sync processconclusion personal thoughtsoverall phone great one youre tech geek want latest iphone also great pick want great hardware flagship tech prefer watching media laptop smart tv,158,48,0,1,9,201,1384,6.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
4,rating right nowbut want make one thing clear ordered device sale delhi seller appariothe device genuine authentic one year warrantyone week review phone working expected apple devicesi believe hard usage bought put restrictions update timei saw people writing negative reviews appario felt fear made mistake last year friend ordered xr sale october yearhe said people happy thier product less likely write feedback promised lash fairso writing thisfirst two days reviewbattery life okcamera natural light good artificial good artificial zoom avgface id goodinterface everything hard track everythingrest everything typical appleconphone heavy hahahaill try keep updating,66,27,0,0,2,98,686,6.0
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
3,moved phone samsung transition ios easy however miss lot android features easy include ios reasons implemented battery life great camera good however miss raw support bit bulky screen could better hangs time expected iphone charger slow getting fast charger phone price,36,12,0,0,2,42,270,5.6
4,time new iphone user decades android ownership blackberry oneplus past decade one main reasons buying iphone price came independence day sale weekthis decided new ear piece phone extremely poor even calls camera beyond awful problems could resolved even giving piece oneplus year weird things started happening calls without showing caller youtube plays without volume calls caller id volume among problemsthat said user interface general phone speed good reception decent planning mac decided iphone based reviews decided instead x se primarily regular user active social media dont phone gaming either uses calls basic browsing working home dont even amazon netflix etc see tv based usage heres oneweek reviewfirst apprehensive apple sells phone even bought wireless charger basics ear phone thankfully iphone comes charger earphonesappearance given usage etc dont particularly care looks phone long ergonomically convenient fine phone feels lighter oneplus even samsung sleek looks good however would recommend red colour dont mind black little staid anyway covers phonesuser interface didnt problem oneplus far apple seems fine sufficient speed opening closing apps easy navigate figured toggle screens little tougher android phones guess figure outcamera compared oneplus awesome incredibly sharp night camera awesome got panorama wellspeaker awesome given problem one plus awesomecharger battery stock charger decent take hours charge battery life lasts easily hours usage also minimal right charging days wireless charging raegr arc quite slow oneplus amazing area fast charge missedearphones thankfully iphone uses charger jack earphones stock ear phone decent fits snugly decent wire length audio decent amazon basics one also decentoverall user experiencepros good overall experience barring minor points stated happy iphone installation apps straghtforward decentcall signal quality etc quite good complaintsdont worry face id works well dark well doesnt need passcode isnt bad part quit consistent keyboard experience less similar android nothing different eithercons appears phone numbers cant copypasted internet dial pad screenmirror casting isnt working croma tv easily sometimes easy navigation chrome windows google isnt easy android easily move back forth tabs opened google cant easily hereone point transfer data android iphone hardly problem iphone takes process data gets backed icloud access deal ithope review helps next buyer,237,152,0,11,19,387,2521,5.9
5,opinion dont think much phone attaching nightmode pictures check best best long day battery touch id iphone best nightmode best processors bionic display could oled price doesnt matter retina lcd really slightly bulky weighty r shifting iphone thick bezelsguys samsung well iphone fan price range would suggest order iphone really great dealand r long time iphone user really great yougot guys,40,31,0,1,6,77,414,5.3
5,opinion dont think much phone attaching nightmode pictures check best best long day battery touch id iphone best nightmode best processors bionic display could oled price doesnt matter retina lcd really slightly bulky weighty r shifting iphone thick bezelsguys samsung well iphone fan price range would suggest order iphone really great dealand r long time iphone user really great yougot guys,40,31,0,1,6,77,414,5.3
4,mom got phone using oneplus years change wanted try ios heavy user pixel peeper also inclines towards fancy colored phonespreviously lava red thought advising go iphone coming phone say iphone really good one fulfilling many duties ill list points regarding phoneprosa great camera realistic colorsnot highly saturatedthe best video recording mobileas feb great excellent battery lifethe software experience great youre apple way things whole experience fluidicthe phone feels expensive gives feelgood factor also build pretty stellar even people commenting sides alluminium steelconsmany buyers even youtubers saying display great wont notice difference day day life dont want sugarcoat things display decent great day day life texting applications general usage phone wont feel difference correct media apps youtube netflix etc notice difference lower resolution theres escaping factyou also notice great difference screenshots containing textthe display opinion would main deal breaker case phone mom shes tech geek shes loving purple color camera phoneand also youre data transferring phone laptopwindows laptop phone frustrate sure suggest rely cloud based services manual cable sync processconclusion personal thoughtsoverall phone great one youre tech geek want latest iphone also great pick want great hardware flagship tech prefer watching media laptop smart tv,158,48,0,1,9,201,1384,6.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
4,rating right nowbut want make one thing clear ordered device sale delhi seller appariothe device genuine authentic one year warrantyone week review phone working expected apple devicesi believe hard usage bought put restrictions update timei saw people writing negative reviews appario felt fear made mistake last year friend ordered xr sale october yearhe said people happy thier product less likely write feedback promised lash fairso writing thisfirst two days reviewbattery life okcamera natural light good artificial good artificial zoom avgface id goodinterface everything hard track everythingrest everything typical appleconphone heavy hahahaill try keep updating,66,27,0,0,2,98,686,6.0
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
3,moved phone samsung transition ios easy however miss lot android features easy include ios reasons implemented battery life great camera good however miss raw support bit bulky screen could better hangs time expected iphone charger slow getting fast charger phone price,36,12,0,0,2,42,270,5.6
