stars,comment,stopwords,punctuation,hastags,numerics,upper,word_count,char_count,avg_word
5,perfect smartphone reasonable price point phone surprisingly light size excellent form factor soc really delivers issues heating excessive battery consumption completely corrected software updates amazing display best great cameras best iphone pixel great dolby atmos sound quality headphone jack expandable storage upto water dust resistance wireless charging reverse wireless charging good allday battery last years still really fast processor multitasking watching netflix playing pubg using phone smooth effortless samsung recently announced providing android updates additional year set keep getting new upgrades next years considering price iphones galaxy series note series best deal one without shelling atleast burning hole ones pocke,56,37,0,2,5,114,767,6.4
4,good somehow camera disappointing,3,0,0,0,0,4,33,7.5
5,awesome product samsungprosvery good audio qualityphone quality far better apple iphonescreen quality size amazinghas reachability featurevery good battery lifevery good cameramicrosoft integration problem heatingthe gesture features awesomethe edge panel feature greatsamsung softwares secure folders goodface unlock consistentonscreen fingerprint goodconssamsung closing cloud therefore syncing good contracts stored samsung cloud gallery stored microsoft cloud mess terms cloud syncing dont want google services due privacyoverall phone worth mone,42,12,0,0,0,68,557,7.4
5,phone samsung apple x phone great compared display quality camera quality also fast fingerprint face recogintion bit slower iphone xi recommend purchase worth single penn,19,2,0,0,1,26,177,5.8
5,product delievery late one day issues thanks amazon nice packing starting screen quality guys know nobody comoete samsung disolay market apple one plus every reputed company uses samsungs oled display even though see samsung competition best market even though one plus apple samsung screen samsung provides phonesobviously market strategyps red colour wallpapers best viewing experience look fingerprint sensor ultrasonic fingerprint sensor maps finger rather taking image secure latest uldates fast error install tempered glass notice lag relativeseconds life people say version bit battery consuming provides less screen timesot ive uploaded screenshot battery life hours sot think enough ps sot screenshot relative sot means hiw much time screen hours means using hours depend user user user hour usage full charge tempered phone costly wont much cover options go blue beautiful white samsung one ui much better oxygen os one ui big phone one hand dark mode dope version power battery efficient snapdragon version difference little wont even notice difference option gb variant sucks always expand storage headphone jack c type otg akg earphones want ps one plus pro offers listed features along ufs refresh rate option gb ram much cheaper price point uses samsung oled pannel truly infinity display selfie camera popup camera check bought samsung brand value samsung pure class popup camera looks cheap plus wont strong feeling sturdiness even seeing pop times,151,59,0,8,2,252,1530,5.4
5,confusion buy go oneplus confusion sharing review week look feel phone looks stunning excellent build quality phone weighs less hand considering size great haptic feedback doesnt ugly camera bumps also display one best displays market refresh rate present dont feel great loss people switch lower refresh rate higher refresh rate consumes camera camera also stunning addition still holds one feature rich phone features wireless charging reverse wireless charging consider gimmick heart rate sensor samsung tap pay dex literally turns phone pc many got used one ui feel userfriendlyand top headphone battery life saw reviews thought battery life poor thats case able entire day battery battery expecting last longer switched resolution fhd wqhd gave better battery slightly inferior chip compared snapdragon slouch either people complained heating issue noticed day phone slightly warm updated apps os issue heating able play pubg banned india cod didnt notice frame drops phone performs fast heating issues really wish samsung would used snapdragon chip give hr screen time compared one thing concerned since year old phone may stop receiving updates near future samsung providing os update till android phone good another yearsso anyone looking new phone price bracket great choice better camera better look feel lot features oneplus value faster chipset hz refresh rate near stock android oxygen os experience year updates consider oneplus great phones dont think wrong picking,194,75,0,3,29,249,1535,5.6
5,time samsung really try thing new special series willadmire screen size perfect holding amazing power backup one day easily heavy including gaming tube camera camera main high light cell picture quality amazing shutter speed awesome balancing photos blast think wide angel photo words try fast charging nice done samsung provide wireless fast charger pack cell slim sleek back cover provide samsung phone nice crafted fit properlyi upgrade apple iphone plus samsung galaxy totally satisfied upgrade,46,16,0,2,1,85,516,5.6
5,remove pre applied screen protector doesnt come way fingerprint ok basic medium usage least one half cutout removed remove notch option one hands small still love phone main reason screen size view videos play games clash kings pubg battery last hours similar segment live message ar provided back case best want keep lighthard plastic clear colored akg headset box accessories good basic calling bixby button reassigned another camera quality nice front hybrid slot two sims one sim one memory doesnt second sim option hrm sensor choose two,58,37,0,0,0,102,564,5.2
1,worth money price high waste money camera quality worst battery draining fas,5,7,0,0,0,12,77,5.5
5,guys lets cut crap lets straight onto review dont know reasons people given negative feedbacks mine straight forward start display must say brand stand front samsungs true amoled displays seems claiming fake amoledsmoving next camera though plus camera still competes next year liked video quality superb haziness lag sound output way loud soothing ears compares chinese brand oppo vivo mi etccoming battery part understand battery gives one full day depending network quality area many applications installed phone amoled screen last one full day dynamic amoled screen still gives one full day inch screen way ahead think itmy plus end day status lets say till shows battery remaining earlier using honor battery find difference battery part compare plusnow coming build quality must say far far excellent terms build quality light weight feels premium hold hand without cover need tempered glass preinstalled screen protector already applied screen kudos samsunglast least processor understand samsung start using sd chipsets series maybe battery management might improvelastly exchanged honor masterpiece samsung plus along citi bank discount got beauty true unbiased review samsung,113,50,0,5,14,197,1216,5.7
5,perfect smartphone reasonable price point phone surprisingly light size excellent form factor soc really delivers issues heating excessive battery consumption completely corrected software updates amazing display best great cameras best iphone pixel great dolby atmos sound quality headphone jack expandable storage upto water dust resistance wireless charging reverse wireless charging good allday battery last years still really fast processor multitasking watching netflix playing pubg using phone smooth effortless samsung recently announced providing android updates additional year set keep getting new upgrades next years considering price iphones galaxy series note series best deal one without shelling atleast burning hole ones pocke,56,37,0,2,5,114,767,6.4
4,good somehow camera disappointing,3,0,0,0,0,4,33,7.5
5,awesome product samsungprosvery good audio qualityphone quality far better apple iphonescreen quality size amazinghas reachability featurevery good battery lifevery good cameramicrosoft integration problem heatingthe gesture features awesomethe edge panel feature greatsamsung softwares secure folders goodface unlock consistentonscreen fingerprint goodconssamsung closing cloud therefore syncing good contracts stored samsung cloud gallery stored microsoft cloud mess terms cloud syncing dont want google services due privacyoverall phone worth mone,42,12,0,0,0,68,557,7.4
5,phone samsung apple x phone great compared display quality camera quality also fast fingerprint face recogintion bit slower iphone xi recommend purchase worth single penn,19,2,0,0,1,26,177,5.8
5,product delievery late one day issues thanks amazon nice packing starting screen quality guys know nobody comoete samsung disolay market apple one plus every reputed company uses samsungs oled display even though see samsung competition best market even though one plus apple samsung screen samsung provides phonesobviously market strategyps red colour wallpapers best viewing experience look fingerprint sensor ultrasonic fingerprint sensor maps finger rather taking image secure latest uldates fast error install tempered glass notice lag relativeseconds life people say version bit battery consuming provides less screen timesot ive uploaded screenshot battery life hours sot think enough ps sot screenshot relative sot means hiw much time screen hours means using hours depend user user user hour usage full charge tempered phone costly wont much cover options go blue beautiful white samsung one ui much better oxygen os one ui big phone one hand dark mode dope version power battery efficient snapdragon version difference little wont even notice difference option gb variant sucks always expand storage headphone jack c type otg akg earphones want ps one plus pro offers listed features along ufs refresh rate option gb ram much cheaper price point uses samsung oled pannel truly infinity display selfie camera popup camera check bought samsung brand value samsung pure class popup camera looks cheap plus wont strong feeling sturdiness even seeing pop times,151,59,0,8,2,252,1530,5.4
5,confusion buy go oneplus confusion sharing review week look feel phone looks stunning excellent build quality phone weighs less hand considering size great haptic feedback doesnt ugly camera bumps also display one best displays market refresh rate present dont feel great loss people switch lower refresh rate higher refresh rate consumes camera camera also stunning addition still holds one feature rich phone features wireless charging reverse wireless charging consider gimmick heart rate sensor samsung tap pay dex literally turns phone pc many got used one ui feel userfriendlyand top headphone battery life saw reviews thought battery life poor thats case able entire day battery battery expecting last longer switched resolution fhd wqhd gave better battery slightly inferior chip compared snapdragon slouch either people complained heating issue noticed day phone slightly warm updated apps os issue heating able play pubg banned india cod didnt notice frame drops phone performs fast heating issues really wish samsung would used snapdragon chip give hr screen time compared one thing concerned since year old phone may stop receiving updates near future samsung providing os update till android phone good another yearsso anyone looking new phone price bracket great choice better camera better look feel lot features oneplus value faster chipset hz refresh rate near stock android oxygen os experience year updates consider oneplus great phones dont think wrong picking,194,75,0,3,29,249,1535,5.6
5,time samsung really try thing new special series willadmire screen size perfect holding amazing power backup one day easily heavy including gaming tube camera camera main high light cell picture quality amazing shutter speed awesome balancing photos blast think wide angel photo words try fast charging nice done samsung provide wireless fast charger pack cell slim sleek back cover provide samsung phone nice crafted fit properlyi upgrade apple iphone plus samsung galaxy totally satisfied upgrade,46,16,0,2,1,85,516,5.6
5,remove pre applied screen protector doesnt come way fingerprint ok basic medium usage least one half cutout removed remove notch option one hands small still love phone main reason screen size view videos play games clash kings pubg battery last hours similar segment live message ar provided back case best want keep lighthard plastic clear colored akg headset box accessories good basic calling bixby button reassigned another camera quality nice front hybrid slot two sims one sim one memory doesnt second sim option hrm sensor choose two,58,37,0,0,0,102,564,5.2
1,worth money price high waste money camera quality worst battery draining fas,5,7,0,0,0,12,77,5.5
5,guys lets cut crap lets straight onto review dont know reasons people given negative feedbacks mine straight forward start display must say brand stand front samsungs true amoled displays seems claiming fake amoledsmoving next camera though plus camera still competes next year liked video quality superb haziness lag sound output way loud soothing ears compares chinese brand oppo vivo mi etccoming battery part understand battery gives one full day depending network quality area many applications installed phone amoled screen last one full day dynamic amoled screen still gives one full day inch screen way ahead think itmy plus end day status lets say till shows battery remaining earlier using honor battery find difference battery part compare plusnow coming build quality must say far far excellent terms build quality light weight feels premium hold hand without cover need tempered glass preinstalled screen protector already applied screen kudos samsunglast least processor understand samsung start using sd chipsets series maybe battery management might improvelastly exchanged honor masterpiece samsung plus along citi bank discount got beauty true unbiased review samsung,113,50,0,5,14,197,1216,5.7
5,perfect smartphone reasonable price point phone surprisingly light size excellent form factor soc really delivers issues heating excessive battery consumption completely corrected software updates amazing display best great cameras best iphone pixel great dolby atmos sound quality headphone jack expandable storage upto water dust resistance wireless charging reverse wireless charging good allday battery last years still really fast processor multitasking watching netflix playing pubg using phone smooth effortless samsung recently announced providing android updates additional year set keep getting new upgrades next years considering price iphones galaxy series note series best deal one without shelling atleast burning hole ones pocke,56,37,0,2,5,114,767,6.4
4,good somehow camera disappointing,3,0,0,0,0,4,33,7.5
5,awesome product samsungprosvery good audio qualityphone quality far better apple iphonescreen quality size amazinghas reachability featurevery good battery lifevery good cameramicrosoft integration problem heatingthe gesture features awesomethe edge panel feature greatsamsung softwares secure folders goodface unlock consistentonscreen fingerprint goodconssamsung closing cloud therefore syncing good contracts stored samsung cloud gallery stored microsoft cloud mess terms cloud syncing dont want google services due privacyoverall phone worth mone,42,12,0,0,0,68,557,7.4
5,phone samsung apple x phone great compared display quality camera quality also fast fingerprint face recogintion bit slower iphone xi recommend purchase worth single penn,19,2,0,0,1,26,177,5.8
5,product delievery late one day issues thanks amazon nice packing starting screen quality guys know nobody comoete samsung disolay market apple one plus every reputed company uses samsungs oled display even though see samsung competition best market even though one plus apple samsung screen samsung provides phonesobviously market strategyps red colour wallpapers best viewing experience look fingerprint sensor ultrasonic fingerprint sensor maps finger rather taking image secure latest uldates fast error install tempered glass notice lag relativeseconds life people say version bit battery consuming provides less screen timesot ive uploaded screenshot battery life hours sot think enough ps sot screenshot relative sot means hiw much time screen hours means using hours depend user user user hour usage full charge tempered phone costly wont much cover options go blue beautiful white samsung one ui much better oxygen os one ui big phone one hand dark mode dope version power battery efficient snapdragon version difference little wont even notice difference option gb variant sucks always expand storage headphone jack c type otg akg earphones want ps one plus pro offers listed features along ufs refresh rate option gb ram much cheaper price point uses samsung oled pannel truly infinity display selfie camera popup camera check bought samsung brand value samsung pure class popup camera looks cheap plus wont strong feeling sturdiness even seeing pop times,151,59,0,8,2,252,1530,5.4
5,confusion buy go oneplus confusion sharing review week look feel phone looks stunning excellent build quality phone weighs less hand considering size great haptic feedback doesnt ugly camera bumps also display one best displays market refresh rate present dont feel great loss people switch lower refresh rate higher refresh rate consumes camera camera also stunning addition still holds one feature rich phone features wireless charging reverse wireless charging consider gimmick heart rate sensor samsung tap pay dex literally turns phone pc many got used one ui feel userfriendlyand top headphone battery life saw reviews thought battery life poor thats case able entire day battery battery expecting last longer switched resolution fhd wqhd gave better battery slightly inferior chip compared snapdragon slouch either people complained heating issue noticed day phone slightly warm updated apps os issue heating able play pubg banned india cod didnt notice frame drops phone performs fast heating issues really wish samsung would used snapdragon chip give hr screen time compared one thing concerned since year old phone may stop receiving updates near future samsung providing os update till android phone good another yearsso anyone looking new phone price bracket great choice better camera better look feel lot features oneplus value faster chipset hz refresh rate near stock android oxygen os experience year updates consider oneplus great phones dont think wrong picking,194,75,0,3,29,249,1535,5.6
5,time samsung really try thing new special series willadmire screen size perfect holding amazing power backup one day easily heavy including gaming tube camera camera main high light cell picture quality amazing shutter speed awesome balancing photos blast think wide angel photo words try fast charging nice done samsung provide wireless fast charger pack cell slim sleek back cover provide samsung phone nice crafted fit properlyi upgrade apple iphone plus samsung galaxy totally satisfied upgrade,46,16,0,2,1,85,516,5.6
5,remove pre applied screen protector doesnt come way fingerprint ok basic medium usage least one half cutout removed remove notch option one hands small still love phone main reason screen size view videos play games clash kings pubg battery last hours similar segment live message ar provided back case best want keep lighthard plastic clear colored akg headset box accessories good basic calling bixby button reassigned another camera quality nice front hybrid slot two sims one sim one memory doesnt second sim option hrm sensor choose two,58,37,0,0,0,102,564,5.2
1,worth money price high waste money camera quality worst battery draining fas,5,7,0,0,0,12,77,5.5
5,guys lets cut crap lets straight onto review dont know reasons people given negative feedbacks mine straight forward start display must say brand stand front samsungs true amoled displays seems claiming fake amoledsmoving next camera though plus camera still competes next year liked video quality superb haziness lag sound output way loud soothing ears compares chinese brand oppo vivo mi etccoming battery part understand battery gives one full day depending network quality area many applications installed phone amoled screen last one full day dynamic amoled screen still gives one full day inch screen way ahead think itmy plus end day status lets say till shows battery remaining earlier using honor battery find difference battery part compare plusnow coming build quality must say far far excellent terms build quality light weight feels premium hold hand without cover need tempered glass preinstalled screen protector already applied screen kudos samsunglast least processor understand samsung start using sd chipsets series maybe battery management might improvelastly exchanged honor masterpiece samsung plus along citi bank discount got beauty true unbiased review samsung,113,50,0,5,14,197,1216,5.7
5,perfect smartphone reasonable price point phone surprisingly light size excellent form factor soc really delivers issues heating excessive battery consumption completely corrected software updates amazing display best great cameras best iphone pixel great dolby atmos sound quality headphone jack expandable storage upto water dust resistance wireless charging reverse wireless charging good allday battery last years still really fast processor multitasking watching netflix playing pubg using phone smooth effortless samsung recently announced providing android updates additional year set keep getting new upgrades next years considering price iphones galaxy series note series best deal one without shelling atleast burning hole ones pocke,56,37,0,2,5,114,767,6.4
4,good somehow camera disappointing,3,0,0,0,0,4,33,7.5
5,awesome product samsungprosvery good audio qualityphone quality far better apple iphonescreen quality size amazinghas reachability featurevery good battery lifevery good cameramicrosoft integration problem heatingthe gesture features awesomethe edge panel feature greatsamsung softwares secure folders goodface unlock consistentonscreen fingerprint goodconssamsung closing cloud therefore syncing good contracts stored samsung cloud gallery stored microsoft cloud mess terms cloud syncing dont want google services due privacyoverall phone worth mone,42,12,0,0,0,68,557,7.4
5,phone samsung apple x phone great compared display quality camera quality also fast fingerprint face recogintion bit slower iphone xi recommend purchase worth single penn,19,2,0,0,1,26,177,5.8
5,product delievery late one day issues thanks amazon nice packing starting screen quality guys know nobody comoete samsung disolay market apple one plus every reputed company uses samsungs oled display even though see samsung competition best market even though one plus apple samsung screen samsung provides phonesobviously market strategyps red colour wallpapers best viewing experience look fingerprint sensor ultrasonic fingerprint sensor maps finger rather taking image secure latest uldates fast error install tempered glass notice lag relativeseconds life people say version bit battery consuming provides less screen timesot ive uploaded screenshot battery life hours sot think enough ps sot screenshot relative sot means hiw much time screen hours means using hours depend user user user hour usage full charge tempered phone costly wont much cover options go blue beautiful white samsung one ui much better oxygen os one ui big phone one hand dark mode dope version power battery efficient snapdragon version difference little wont even notice difference option gb variant sucks always expand storage headphone jack c type otg akg earphones want ps one plus pro offers listed features along ufs refresh rate option gb ram much cheaper price point uses samsung oled pannel truly infinity display selfie camera popup camera check bought samsung brand value samsung pure class popup camera looks cheap plus wont strong feeling sturdiness even seeing pop times,151,59,0,8,2,252,1530,5.4
5,confusion buy go oneplus confusion sharing review week look feel phone looks stunning excellent build quality phone weighs less hand considering size great haptic feedback doesnt ugly camera bumps also display one best displays market refresh rate present dont feel great loss people switch lower refresh rate higher refresh rate consumes camera camera also stunning addition still holds one feature rich phone features wireless charging reverse wireless charging consider gimmick heart rate sensor samsung tap pay dex literally turns phone pc many got used one ui feel userfriendlyand top headphone battery life saw reviews thought battery life poor thats case able entire day battery battery expecting last longer switched resolution fhd wqhd gave better battery slightly inferior chip compared snapdragon slouch either people complained heating issue noticed day phone slightly warm updated apps os issue heating able play pubg banned india cod didnt notice frame drops phone performs fast heating issues really wish samsung would used snapdragon chip give hr screen time compared one thing concerned since year old phone may stop receiving updates near future samsung providing os update till android phone good another yearsso anyone looking new phone price bracket great choice better camera better look feel lot features oneplus value faster chipset hz refresh rate near stock android oxygen os experience year updates consider oneplus great phones dont think wrong picking,194,75,0,3,29,249,1535,5.6
5,time samsung really try thing new special series willadmire screen size perfect holding amazing power backup one day easily heavy including gaming tube camera camera main high light cell picture quality amazing shutter speed awesome balancing photos blast think wide angel photo words try fast charging nice done samsung provide wireless fast charger pack cell slim sleek back cover provide samsung phone nice crafted fit properlyi upgrade apple iphone plus samsung galaxy totally satisfied upgrade,46,16,0,2,1,85,516,5.6
5,remove pre applied screen protector doesnt come way fingerprint ok basic medium usage least one half cutout removed remove notch option one hands small still love phone main reason screen size view videos play games clash kings pubg battery last hours similar segment live message ar provided back case best want keep lighthard plastic clear colored akg headset box accessories good basic calling bixby button reassigned another camera quality nice front hybrid slot two sims one sim one memory doesnt second sim option hrm sensor choose two,58,37,0,0,0,102,564,5.2
1,worth money price high waste money camera quality worst battery draining fas,5,7,0,0,0,12,77,5.5
5,guys lets cut crap lets straight onto review dont know reasons people given negative feedbacks mine straight forward start display must say brand stand front samsungs true amoled displays seems claiming fake amoledsmoving next camera though plus camera still competes next year liked video quality superb haziness lag sound output way loud soothing ears compares chinese brand oppo vivo mi etccoming battery part understand battery gives one full day depending network quality area many applications installed phone amoled screen last one full day dynamic amoled screen still gives one full day inch screen way ahead think itmy plus end day status lets say till shows battery remaining earlier using honor battery find difference battery part compare plusnow coming build quality must say far far excellent terms build quality light weight feels premium hold hand without cover need tempered glass preinstalled screen protector already applied screen kudos samsunglast least processor understand samsung start using sd chipsets series maybe battery management might improvelastly exchanged honor masterpiece samsung plus along citi bank discount got beauty true unbiased review samsung,113,50,0,5,14,197,1216,5.7
5,perfect smartphone reasonable price point phone surprisingly light size excellent form factor soc really delivers issues heating excessive battery consumption completely corrected software updates amazing display best great cameras best iphone pixel great dolby atmos sound quality headphone jack expandable storage upto water dust resistance wireless charging reverse wireless charging good allday battery last years still really fast processor multitasking watching netflix playing pubg using phone smooth effortless samsung recently announced providing android updates additional year set keep getting new upgrades next years considering price iphones galaxy series note series best deal one without shelling atleast burning hole ones pocke,56,37,0,2,5,114,767,6.4
4,good somehow camera disappointing,3,0,0,0,0,4,33,7.5
5,awesome product samsungprosvery good audio qualityphone quality far better apple iphonescreen quality size amazinghas reachability featurevery good battery lifevery good cameramicrosoft integration problem heatingthe gesture features awesomethe edge panel feature greatsamsung softwares secure folders goodface unlock consistentonscreen fingerprint goodconssamsung closing cloud therefore syncing good contracts stored samsung cloud gallery stored microsoft cloud mess terms cloud syncing dont want google services due privacyoverall phone worth mone,42,12,0,0,0,68,557,7.4
5,phone samsung apple x phone great compared display quality camera quality also fast fingerprint face recogintion bit slower iphone xi recommend purchase worth single penn,19,2,0,0,1,26,177,5.8
5,product delievery late one day issues thanks amazon nice packing starting screen quality guys know nobody comoete samsung disolay market apple one plus every reputed company uses samsungs oled display even though see samsung competition best market even though one plus apple samsung screen samsung provides phonesobviously market strategyps red colour wallpapers best viewing experience look fingerprint sensor ultrasonic fingerprint sensor maps finger rather taking image secure latest uldates fast error install tempered glass notice lag relativeseconds life people say version bit battery consuming provides less screen timesot ive uploaded screenshot battery life hours sot think enough ps sot screenshot relative sot means hiw much time screen hours means using hours depend user user user hour usage full charge tempered phone costly wont much cover options go blue beautiful white samsung one ui much better oxygen os one ui big phone one hand dark mode dope version power battery efficient snapdragon version difference little wont even notice difference option gb variant sucks always expand storage headphone jack c type otg akg earphones want ps one plus pro offers listed features along ufs refresh rate option gb ram much cheaper price point uses samsung oled pannel truly infinity display selfie camera popup camera check bought samsung brand value samsung pure class popup camera looks cheap plus wont strong feeling sturdiness even seeing pop times,151,59,0,8,2,252,1530,5.4
5,confusion buy go oneplus confusion sharing review week look feel phone looks stunning excellent build quality phone weighs less hand considering size great haptic feedback doesnt ugly camera bumps also display one best displays market refresh rate present dont feel great loss people switch lower refresh rate higher refresh rate consumes camera camera also stunning addition still holds one feature rich phone features wireless charging reverse wireless charging consider gimmick heart rate sensor samsung tap pay dex literally turns phone pc many got used one ui feel userfriendlyand top headphone battery life saw reviews thought battery life poor thats case able entire day battery battery expecting last longer switched resolution fhd wqhd gave better battery slightly inferior chip compared snapdragon slouch either people complained heating issue noticed day phone slightly warm updated apps os issue heating able play pubg banned india cod didnt notice frame drops phone performs fast heating issues really wish samsung would used snapdragon chip give hr screen time compared one thing concerned since year old phone may stop receiving updates near future samsung providing os update till android phone good another yearsso anyone looking new phone price bracket great choice better camera better look feel lot features oneplus value faster chipset hz refresh rate near stock android oxygen os experience year updates consider oneplus great phones dont think wrong picking,194,75,0,3,29,249,1535,5.6
5,time samsung really try thing new special series willadmire screen size perfect holding amazing power backup one day easily heavy including gaming tube camera camera main high light cell picture quality amazing shutter speed awesome balancing photos blast think wide angel photo words try fast charging nice done samsung provide wireless fast charger pack cell slim sleek back cover provide samsung phone nice crafted fit properlyi upgrade apple iphone plus samsung galaxy totally satisfied upgrade,46,16,0,2,1,85,516,5.6
5,remove pre applied screen protector doesnt come way fingerprint ok basic medium usage least one half cutout removed remove notch option one hands small still love phone main reason screen size view videos play games clash kings pubg battery last hours similar segment live message ar provided back case best want keep lighthard plastic clear colored akg headset box accessories good basic calling bixby button reassigned another camera quality nice front hybrid slot two sims one sim one memory doesnt second sim option hrm sensor choose two,58,37,0,0,0,102,564,5.2
1,worth money price high waste money camera quality worst battery draining fas,5,7,0,0,0,12,77,5.5
5,guys lets cut crap lets straight onto review dont know reasons people given negative feedbacks mine straight forward start display must say brand stand front samsungs true amoled displays seems claiming fake amoledsmoving next camera though plus camera still competes next year liked video quality superb haziness lag sound output way loud soothing ears compares chinese brand oppo vivo mi etccoming battery part understand battery gives one full day depending network quality area many applications installed phone amoled screen last one full day dynamic amoled screen still gives one full day inch screen way ahead think itmy plus end day status lets say till shows battery remaining earlier using honor battery find difference battery part compare plusnow coming build quality must say far far excellent terms build quality light weight feels premium hold hand without cover need tempered glass preinstalled screen protector already applied screen kudos samsunglast least processor understand samsung start using sd chipsets series maybe battery management might improvelastly exchanged honor masterpiece samsung plus along citi bank discount got beauty true unbiased review samsung,113,50,0,5,14,197,1216,5.7
5,perfect smartphone reasonable price point phone surprisingly light size excellent form factor soc really delivers issues heating excessive battery consumption completely corrected software updates amazing display best great cameras best iphone pixel great dolby atmos sound quality headphone jack expandable storage upto water dust resistance wireless charging reverse wireless charging good allday battery last years still really fast processor multitasking watching netflix playing pubg using phone smooth effortless samsung recently announced providing android updates additional year set keep getting new upgrades next years considering price iphones galaxy series note series best deal one without shelling atleast burning hole ones pocke,56,37,0,2,5,114,767,6.4
4,good somehow camera disappointing,3,0,0,0,0,4,33,7.5
5,awesome product samsungprosvery good audio qualityphone quality far better apple iphonescreen quality size amazinghas reachability featurevery good battery lifevery good cameramicrosoft integration problem heatingthe gesture features awesomethe edge panel feature greatsamsung softwares secure folders goodface unlock consistentonscreen fingerprint goodconssamsung closing cloud therefore syncing good contracts stored samsung cloud gallery stored microsoft cloud mess terms cloud syncing dont want google services due privacyoverall phone worth mone,42,12,0,0,0,68,557,7.4
5,phone samsung apple x phone great compared display quality camera quality also fast fingerprint face recogintion bit slower iphone xi recommend purchase worth single penn,19,2,0,0,1,26,177,5.8
5,product delievery late one day issues thanks amazon nice packing starting screen quality guys know nobody comoete samsung disolay market apple one plus every reputed company uses samsungs oled display even though see samsung competition best market even though one plus apple samsung screen samsung provides phonesobviously market strategyps red colour wallpapers best viewing experience look fingerprint sensor ultrasonic fingerprint sensor maps finger rather taking image secure latest uldates fast error install tempered glass notice lag relativeseconds life people say version bit battery consuming provides less screen timesot ive uploaded screenshot battery life hours sot think enough ps sot screenshot relative sot means hiw much time screen hours means using hours depend user user user hour usage full charge tempered phone costly wont much cover options go blue beautiful white samsung one ui much better oxygen os one ui big phone one hand dark mode dope version power battery efficient snapdragon version difference little wont even notice difference option gb variant sucks always expand storage headphone jack c type otg akg earphones want ps one plus pro offers listed features along ufs refresh rate option gb ram much cheaper price point uses samsung oled pannel truly infinity display selfie camera popup camera check bought samsung brand value samsung pure class popup camera looks cheap plus wont strong feeling sturdiness even seeing pop times,151,59,0,8,2,252,1530,5.4
5,confusion buy go oneplus confusion sharing review week look feel phone looks stunning excellent build quality phone weighs less hand considering size great haptic feedback doesnt ugly camera bumps also display one best displays market refresh rate present dont feel great loss people switch lower refresh rate higher refresh rate consumes camera camera also stunning addition still holds one feature rich phone features wireless charging reverse wireless charging consider gimmick heart rate sensor samsung tap pay dex literally turns phone pc many got used one ui feel userfriendlyand top headphone battery life saw reviews thought battery life poor thats case able entire day battery battery expecting last longer switched resolution fhd wqhd gave better battery slightly inferior chip compared snapdragon slouch either people complained heating issue noticed day phone slightly warm updated apps os issue heating able play pubg banned india cod didnt notice frame drops phone performs fast heating issues really wish samsung would used snapdragon chip give hr screen time compared one thing concerned since year old phone may stop receiving updates near future samsung providing os update till android phone good another yearsso anyone looking new phone price bracket great choice better camera better look feel lot features oneplus value faster chipset hz refresh rate near stock android oxygen os experience year updates consider oneplus great phones dont think wrong picking,194,75,0,3,29,249,1535,5.6
5,time samsung really try thing new special series willadmire screen size perfect holding amazing power backup one day easily heavy including gaming tube camera camera main high light cell picture quality amazing shutter speed awesome balancing photos blast think wide angel photo words try fast charging nice done samsung provide wireless fast charger pack cell slim sleek back cover provide samsung phone nice crafted fit properlyi upgrade apple iphone plus samsung galaxy totally satisfied upgrade,46,16,0,2,1,85,516,5.6
5,remove pre applied screen protector doesnt come way fingerprint ok basic medium usage least one half cutout removed remove notch option one hands small still love phone main reason screen size view videos play games clash kings pubg battery last hours similar segment live message ar provided back case best want keep lighthard plastic clear colored akg headset box accessories good basic calling bixby button reassigned another camera quality nice front hybrid slot two sims one sim one memory doesnt second sim option hrm sensor choose two,58,37,0,0,0,102,564,5.2
1,worth money price high waste money camera quality worst battery draining fas,5,7,0,0,0,12,77,5.5
5,guys lets cut crap lets straight onto review dont know reasons people given negative feedbacks mine straight forward start display must say brand stand front samsungs true amoled displays seems claiming fake amoledsmoving next camera though plus camera still competes next year liked video quality superb haziness lag sound output way loud soothing ears compares chinese brand oppo vivo mi etccoming battery part understand battery gives one full day depending network quality area many applications installed phone amoled screen last one full day dynamic amoled screen still gives one full day inch screen way ahead think itmy plus end day status lets say till shows battery remaining earlier using honor battery find difference battery part compare plusnow coming build quality must say far far excellent terms build quality light weight feels premium hold hand without cover need tempered glass preinstalled screen protector already applied screen kudos samsunglast least processor understand samsung start using sd chipsets series maybe battery management might improvelastly exchanged honor masterpiece samsung plus along citi bank discount got beauty true unbiased review samsung,113,50,0,5,14,197,1216,5.7
5,perfect smartphone reasonable price point phone surprisingly light size excellent form factor soc really delivers issues heating excessive battery consumption completely corrected software updates amazing display best great cameras best iphone pixel great dolby atmos sound quality headphone jack expandable storage upto water dust resistance wireless charging reverse wireless charging good allday battery last years still really fast processor multitasking watching netflix playing pubg using phone smooth effortless samsung recently announced providing android updates additional year set keep getting new upgrades next years considering price iphones galaxy series note series best deal one without shelling atleast burning hole ones pocke,56,37,0,2,5,114,767,6.4
4,good somehow camera disappointing,3,0,0,0,0,4,33,7.5
